contentId,name,brewery,price,description,imageUrl,oldId,purchaseUrl
aoqevoqf,来福　純米吟醸　いちごの花酵母,価格,1650,"<p>商品詳細 ５BYの新酒は、出羽燦々、精米歩合50％、酵母は、いちごです。酒度は-2、酸度1.5です。 口に含んだ時に感じるベリー系の香りと熟した🍓イチゴの様なジューシーな甘みが口いっぱいに広がります。 購入ページへ（外部サイト） その他商品一覧 来福（RAIFUKU） 来福 らいふく 純米吟醸 夏麗 KAREI 720ml ¥ 1,870 (税込) 来福（RAIFUKU） 来福　純米吟醸　いちごの花酵母 720ml ¥ 1,650 (税込) 【ふるさと納税】No.084 日本酒アイス　秀... ml ¥ 13,000 (税込) 来福（RAIFUKU） 来福　純米吟醸　安康（あんこう） 720ml ¥ 1,815 (税込) 来福（RAIFUKU） 来福（らいふく）Coming Happines... 1800ml ¥ 3,190 (税込) 飲める・買えるお店 該当するリストがありません</p>",https://storage.googleapis.com/studio-cms-assets/projects/YPqrD0nkW5/s-1800x2400_v-frms_webp_642e7f35-5687-4152-bd3e-c5066b2aa4a3.jpg,AoqEvOqF,https://a.r10.to/hkGUYW
01hbqahs,寫樂 写楽 純米酒 純愛仕込,価格,2860,"<p>商品詳細 有名な『寫樂』シリーズの純米酒。搾りたてのお酒に一度急冷火入れを施すことで旨みを余すところ無く瓶に詰め込みました。 清涼感溢れる爽やかな果実味が特徴のキレの良いフレッシュな味わいです。 購入ページへ（外部サイト） その他商品一覧 冩樂（SHARAKU） 寫樂 写楽 純米酒 純愛仕込 720ml ¥ 2,860 (税込) 飲める・買えるお店 該当するリストがありません</p>",https://storage.googleapis.com/studio-cms-assets/projects/YPqrD0nkW5/s-300x400_b2bf3254-61d9-4a0f-ae48-6974be81c580.webp,01HBqAhs,https://a.r10.to/hkfQh4
zsesfxhh,伯楽星(はくらくせい)　特別純米,価格,2750,"<p>商品詳細 爽やかな酸が印象的な凛とした味わい &quot;究極の食中酒&quot;「伯楽星」 世界一おいしい日本酒を決める世界最大の日本酒コンペティション『SAKE COMPETITION』 にて、2014・2015・2016・2017年 純米酒部門 4年連続GOLD受賞。&quot;究極の食中酒&quot;・&quot;究極の3杯目&quot;をコンセプトに造られた、「伯楽星 はくらくせい」定番 特別純米酒です。 素材の持つ力を引きだし、食事を引き立てる名脇役。1杯目のインパクトはなくとも、気が付くと2杯、3杯とすすむ酒。そんなお酒を目指して造られています。 ズバッと糖分が少ない、すっきりとしたタイプです。冷で爽やかな酸がいきてきます。全体的に糖分が多い日本酒が増えてきている中で、すっきりとした酒質のため、脂ののったお料理を引き立たせます。純米吟醸と比較して、すっきりさが目立ちます。燗にする場合は温度を高めにし、パッと消える味わいをお楽しみください。 購入ページへ（外部サイト） その他商品一覧 伯楽星（HAKURAKUSEI） 伯楽星(はくらくせい)　特別純米 720ml ¥ 2,750 (税込) 伯楽星（HAKURAKUSEI） 伯楽星（はくらくせい） 純米大吟醸 720ml ¥ 2,750 (税込) 飲める・買えるお店 該当するリストがありません</p>",https://storage.googleapis.com/studio-cms-assets/projects/YPqrD0nkW5/s-500x500_webp_a5da1aa5-31de-47c0-88fa-9d91d647b69b.png,zsesfXHh,https://a.r10.to/hkr1rF
ukf8gl8l,男山 北の稲穂 大吟醸,価格,2299,"<p>商品詳細 40%まで磨き上げた北海道産酒造好適米を100%使用し、時間をかけて丁寧に醸しました。華やかな吟醸香とフルーティーでやわらかな味わい、雑味のない上品な余韻が心地良いお酒です 購入ページへ（外部サイト） その他商品一覧 男山（OTOKOYAMA） 【すし専用】男山 特別純米 つまみつつ 720ml ¥ 1,500 (税込) 男山（OTOKOYAMA） 男山 北の稲穂 大吟醸 720ml ¥ 2,299 (税込) 飲める・買えるお店 該当するリストがありません</p>",https://storage.googleapis.com/studio-cms-assets/projects/YPqrD0nkW5/s-1000x1000_v-fs_webp_f32583c2-a038-4db5-8d92-ff6b3458c49f.png,ukf8GL8l,https://a.r10.to/hXHjBK
-3qikxl_,シン・ツチダ 五百万石,価格,1700,"<p>商品詳細 「五百万石」と聞くと、多くの方が淡麗で淡泊な味わいをイメージされるかと思います。 業界でよく言われるのは「硬い、溶けにくい」。 これは、米質が硬く、水を吸収しにくいため、発酵中に米が溶けにくいという特性からきているためです。 しかし、「本当にそれは米のせい？ 技術次第で変えられるのではないか？」と、考えました。 その仮説のもと、私たちは五百万石を使い、新しい酒造りに挑戦しました。 結果として生まれたのは、濃厚で複雑な味わいのお酒。 五百万石の教科書的な味わいを覆し、日本酒の新たな可能性を示す、深い味わいを実現できました。 「米の質よりも麹の造りかたで日本酒を変える」ことを証明した一本です。 購入ページへ（外部サイト） その他商品一覧 シン・ツチダ シン・ツチダ 五百万石 720ml ¥ 1,700 (税込) 土田シリーズ（TSUCHIDA SERIES） 【IMADEYA限定】土田 生もと別誂 720ml ¥ 2,200 (税込) 土田シリーズ（TSUCHIDA SERIES） 土田 生もと 別誂 令和五酒造年度仕込み５号 720ml ¥ 2,800 (税込) 譽國光（HOMAREKOKKO） こうじの恵　石けん（100g） ml ¥ 700 (税込) 譽國光（HOMAREKOKKO） こうじの恵　トライアルセット 0ml ¥ 1,100 (税込) 飲める・買えるお店 該当するリストがありません</p>",https://storage.googleapis.com/studio-cms-assets/projects/YPqrD0nkW5/s-500x500_webp_e2efc255-125a-4cc8-a78b-177cba72be57.png,-3qIKxL_,https://cart.homare.biz/i/S0221?package_item_no=25403165
-rlyehmb,来福　純米吟醸　安康（あんこう）,価格,1815,"<p>商品詳細 蔵の地元、茨城の名産『安康(あんこう)』がモチーフ。 あんこうの大きな口でたくさんの&quot;口福&quot;を呼び込むようにと願いが込められた 縁起の良い一本！ 低グルテン米という新形質の 酒造好適米マスカットを思わす香りとすっきりした味わいが魅力の 食中にぴったりの味わいに仕上げられています♪ 低グルテン米とは 身体に吸収されやすい易消化性タンパク質(グルテリン)の 含量が低いという特性をもった品種のお米。 購入ページへ（外部サイト） その他商品一覧 来福（RAIFUKU） 来福 らいふく 純米吟醸 夏麗 KAREI 720ml ¥ 1,870 (税込) 来福（RAIFUKU） 来福　純米吟醸　いちごの花酵母 720ml ¥ 1,650 (税込) 【ふるさと納税】No.084 日本酒アイス　秀... ml ¥ 13,000 (税込) 来福（RAIFUKU） 来福　純米吟醸　安康（あんこう） 720ml ¥ 1,815 (税込) 来福（RAIFUKU） 来福（らいふく）Coming Happines... 1800ml ¥ 3,190 (税込) 飲める・買えるお店 該当するリストがありません</p>",https://storage.googleapis.com/studio-cms-assets/projects/YPqrD0nkW5/s-433x576_webp_27f46a77-e0bd-45ae-84ab-981eee60fb0f.png,-rLYEhMb,https://jizake-daisuki.com/shopdetail/000000002395/?srsltid=AfmBOor2xgCc86Eby7Y9qG7Vhn2Uq-bEX-gBZHjKCud3RGihgjVSfSvk
cokzjr9b,酒屋八兵衛　Nero　生原酒　2024,価格,3500,"<p>商品詳細 江戸末期に興盛を極めていた在来品種である伊勢錦。元坂酒造さんが1987年に復活させ、現在は自社圃場及び契約農家にて栽培しています。 こちらは掛米に全量精米歩合80%の伊勢錦を使用し、麹米には山田錦を用いて仕込みました。 スッキリとした甘味と生もと由来の濃厚ながら軽やかな旨味。精米歩合80%の伊勢錦が持つワイルドで野性味あふれる渋みや苦みが絶妙に調和し、ハチミツのようなニュアンスを持つ個性的な味わいです！ 購入ページへ（外部サイト） その他商品一覧 酒屋八兵衛（SAKAYAHACHIBEI） 酒屋八兵衛　Nero　生原酒　2024 1800ml ¥ 3,500 (税込) 酒屋八兵衛（SAKAYAHACHIBEI） 酒屋八兵衛 朔旦 生酒 ml ¥ 2,000 (税込) 酒屋八兵衛（SAKAYAHACHIBEI） 酒屋八兵衛 しぼりたて純米酒 ml ¥ 1,650 (税込) 飲める・買えるお店 該当するリストがありません</p>",https://storage.googleapis.com/studio-cms-assets/projects/YPqrD0nkW5/s-500x500_webp_009e2c8f-8d8e-4b02-ad95-4ec899db76e6.png,COKZJr9B,https://a.r10.to/hN0iXy
s_dhmall,La+YACHIYO　ROOM　ホワイト・モーメント　ゴールド,価格,2200,"<p>商品詳細 八千代酒造のニューブランド「La+ YACHIYO（ラプラスヤチヨ）」。 日本酒を通して個々の生活シーンに価値を+プラスし、共感や共鳴し合う場所（place）をつくります。 天文学者ラプラスの名前・加える希望+（プラス）・場所place等、複数の意味合いや願いを持って名付けられました。 仕事を終えた週末、ひとりを愉しむ夜、大切な友人との食事、あなた自身を開放できるとっておきの空間＜ROOM＞　その入口に在るのはきっとこんなお酒です。 口に含むとふわりと弾ける微発泡感があり、心地の良い甘さと、お米の旨味に包まれます。 購入ページへ（外部サイト） その他商品一覧 La+YACHIYO（ラプラスヤチヨ） La+YACHIYO　ROOM　ホワイト・モー... 720ml ¥ 2,200 (税込) 八千代（YACHIYO） 八千代　純米吟醸 ml ¥ 1,850 (税込) 八千代（YACHIYO） KABAラベル　活性純米にごり酒（生） ml ¥ 1,650 (税込) 飲める・買えるお店 該当するリストがありません</p>",https://storage.googleapis.com/studio-cms-assets/projects/YPqrD0nkW5/s-400x400_e974a933-f6c5-41d9-a7cf-23a97db2e89d.webp,s_dHmaLL,https://a.r10.to/hg0VhM
uggl2x7p,貴 ( たか ) 純米吟醸 山田錦 生酒,価格,2200,"<p>商品詳細 春の訪れとともに楽しむ、特別な生酒 春の気配を感じ、心も華やぐこの季節に仕込んだ限定の生酒。 山口市徳佐地区「十種（とくさ）の郷」の特等米 山田錦100％ で醸しました。 口に含むと、まずは生もと仕込みならではの酸味がやさしく広がり、ほどよいバランスで馴染んでいきます。 続いて、酢酸イソアミル由来のフルーティーな香りが広がり、白玉粉のような米の甘みがふんわりと感じられます。 しかし、決して甘さが重く残ることはなく、あくまで ソフトで繊細な味わい に仕上がっています。 お米本来の旨味が素直に引き出された味わいで、まるで白米と寄り添うように さまざまな料理と相性抜群。 特に、これから旬を迎える 山菜の天ぷら や 春の味覚 と合わせると、その魅力が一層引き立ちます。 購入ページへ（外部サイト） その他商品一覧 貴（TAKA） 貴 ( たか ) 純米吟醸 山田錦 生酒 720ml ¥ 2,200 (税込) 飲める・買えるお店 該当するリストがありません</p>",https://storage.googleapis.com/studio-cms-assets/projects/YPqrD0nkW5/s-500x500_webp_1a08e595-61b4-4c3e-bdfd-7cb09ffa487d.png,ugGl2X7p,https://a.r10.to/h2ahi2
s8pocpnm,来福（らいふく）Coming Happiness 番外編 生酒,価格,3190,"<p>商品詳細 花酵母を駆使して、 華やかな香りの日本酒を提供してくれる茨城県の『来福』の季節を彩る 「Coming Happines」シリーズの番外品です！ ラベルにも描かれているとおりの ライチやマスカットのような爽やかな香りとジューシーな果実味が楽しめるため、ワインのソービニヨンブランを 想像させる味わいとなっています。 購入ページへ（外部サイト） その他商品一覧 来福（RAIFUKU） 来福 らいふく 純米吟醸 夏麗 KAREI 720ml ¥ 1,870 (税込) 来福（RAIFUKU） 来福　純米吟醸　いちごの花酵母 720ml ¥ 1,650 (税込) 【ふるさと納税】No.084 日本酒アイス　秀... ml ¥ 13,000 (税込) 来福（RAIFUKU） 来福　純米吟醸　安康（あんこう） 720ml ¥ 1,815 (税込) 来福（RAIFUKU） 来福（らいふく）Coming Happines... 1800ml ¥ 3,190 (税込) 飲める・買えるお店 該当するリストがありません</p>",https://storage.googleapis.com/studio-cms-assets/projects/YPqrD0nkW5/s-500x500_webp_8cf380f5-17df-4463-b45b-a91dd864aa13.png,S8POcPNm,
zrhkdjji,来福 さくら 純米生原酒,価格,1595,"<p>商品詳細 「来福」の季節限定酒の中でも、特に高い人気を誇るのが本品。 薄いピンク色のカラーボトルと、パッと目をひく華やかで可愛らしいラベルは、お店の冷蔵庫に並べているだけでウキウキしてしまうような出で立ち。 瓶底には春霞のような淡く美しい滓（おり）がたなびき、古今の調べさえ聞こえてきそうな情緒を漂わせます。 そして、ひとたび口に含めばひろがる、心も踊りだすような素晴らしい味わい！ 新酒らしい若々しさとシャープな酸味の利いたすっきりとした味わいは、お花見のお供にもぴったり。滓をからめた時の、ふわっとやわらかで品の良い甘味も絶品です。 購入ページへ（外部サイト） その他商品一覧 来福（RAIFUKU） 来福 らいふく 純米吟醸 夏麗 KAREI 720ml ¥ 1,870 (税込) 来福（RAIFUKU） 来福　純米吟醸　いちごの花酵母 720ml ¥ 1,650 (税込) 【ふるさと納税】No.084 日本酒アイス　秀... ml ¥ 13,000 (税込) 来福（RAIFUKU） 来福　純米吟醸　安康（あんこう） 720ml ¥ 1,815 (税込) 来福（RAIFUKU） 来福（らいふく）Coming Happines... 1800ml ¥ 3,190 (税込) 飲める・買えるお店 該当するリストがありません</p>",https://storage.googleapis.com/studio-cms-assets/projects/YPqrD0nkW5/s-500x500_webp_92a8c136-f353-4c1b-a2de-3590ff983489.png,ZRHKDJJI,https://a.r10.to/hNeIib
ofamnqrw,来福 純米吟醸 生原酒 雄町,価格,1760,"<p>商品詳細 飾らない美味しさ、ナチュラルな雄町！ 料理の味をさりげなく引き立てる、心地よい酸味も魅力です。 岡山県を代表する酒米「雄町」を50％まで磨き、ベゴニアの花酵母で仕込んだ純米吟醸。定番ながらも特別な一杯です。 「雄町」は、江戸時代から栽培されている歴史ある酒米。その豊かな旨味と力強い味わいが特徴で、近年では「山田錦」と並ぶ人気を誇ります。熱烈なファン「オマチスト」も多く生まれています。 このお酒は、雄町のふくよかな旨味を存分に楽しめるよう、 無濾過・生原酒・無加水 で瓶詰め。 上品でフルーティーな香り、みずみずしい甘みと旨味が静かに広がるその味わいは、まさに 雄町 meets 来福！ 飲みごたえがありながら、キリッとした酸が心地よく、後味は爽やか。 普段の食事にも合わせやすく、脂ののった旬の魚のムニエルやポワレと相性抜群。互いの甘みが引き立ち、絶品のマリアージュを生み出します。 購入ページへ（外部サイト） その他商品一覧 来福（RAIFUKU） 来福 らいふく 純米吟醸 夏麗 KAREI 720ml ¥ 1,870 (税込) 来福（RAIFUKU） 来福　純米吟醸　いちごの花酵母 720ml ¥ 1,650 (税込) 【ふるさと納税】No.084 日本酒アイス　秀... ml ¥ 13,000 (税込) 来福（RAIFUKU） 来福　純米吟醸　安康（あんこう） 720ml ¥ 1,815 (税込) 来福（RAIFUKU） 来福（らいふく）Coming Happines... 1800ml ¥ 3,190 (税込) 飲める・買えるお店 該当するリストがありません</p>",https://storage.googleapis.com/studio-cms-assets/projects/YPqrD0nkW5/s-500x500_webp_2f0d8663-8199-43b7-97fb-99793eebfa2f.png,OFAmNqrw,https://a.r10.to/hkRJUW
l9_posh2,来福 純米吟醸 超辛口,価格,1595,"<p>商品詳細 花酵母を巧みに使い香り高い酒を醸すことが多い「来福酒造」にとって例外的存在がこちらの「超辛口」。日本酒度は高いですが酸度が抑えられてる為、数字よりは柔らかく感じられます。 また、香りを極力抑えた本格辛口酒は米の旨味とキレ、シャープな辛さのバランスがとても良く、料理との相性も抜群で冷やから燗まで楽しめる万能な1本です。これが来福流「超辛口」！ 購入ページへ（外部サイト） その他商品一覧 来福（RAIFUKU） 来福 らいふく 純米吟醸 夏麗 KAREI 720ml ¥ 1,870 (税込) 来福（RAIFUKU） 来福　純米吟醸　いちごの花酵母 720ml ¥ 1,650 (税込) 【ふるさと納税】No.084 日本酒アイス　秀... ml ¥ 13,000 (税込) 来福（RAIFUKU） 来福　純米吟醸　安康（あんこう） 720ml ¥ 1,815 (税込) 来福（RAIFUKU） 来福（らいふく）Coming Happines... 1800ml ¥ 3,190 (税込) 飲める・買えるお店 該当するリストがありません</p>",https://storage.googleapis.com/studio-cms-assets/projects/YPqrD0nkW5/s-500x500_webp_cf4b1930-855d-49a4-95e1-2e04646d305f.png,l9_poSH2,https://a.r10.to/hPFcUs
mqhusg_j,来福 Raifuku MELLOW 貴醸酒 生,価格,1920,"<p>商品詳細 貴醸酒とは簡単に説明すると、「水の代わりに日本酒で仕込んだ日本酒」。ほとんどの貴醸酒が長期間熟成、そして値段も高いというのが一般的です。 来福が提案する貴醸酒は「できたての生酒」で、しかも「リーズナブル」。香りから甘味を感じ、口に入れるとより甘味感じます。ベタベタ感はなく、サラサラとした甘み。食前、食後、それにデザートに合う貴醸酒です。 購入ページへ（外部サイト） その他商品一覧 来福（RAIFUKU） 来福 らいふく 純米吟醸 夏麗 KAREI 720ml ¥ 1,870 (税込) 来福（RAIFUKU） 来福　純米吟醸　いちごの花酵母 720ml ¥ 1,650 (税込) 【ふるさと納税】No.084 日本酒アイス　秀... ml ¥ 13,000 (税込) 来福（RAIFUKU） 来福　純米吟醸　安康（あんこう） 720ml ¥ 1,815 (税込) 来福（RAIFUKU） 来福（らいふく）Coming Happines... 1800ml ¥ 3,190 (税込) 飲める・買えるお店 該当するリストがありません</p>",https://storage.googleapis.com/studio-cms-assets/projects/YPqrD0nkW5/s-460x536_webp_0ea65159-55e7-4fac-80f8-aa336cad11a2.png,mqHusG_j,https://a.r10.to/h5CaBx
-kb6d97q,萩乃露 双子座のスピカ 純米,価格,1210,<p>商品詳細 双子座のスピカは、柑橘のように爽やかで飲みやすい。 低アルコールで気軽に楽しめ、お肉やポテトフライ、スパイスやハーブをきかした食事、スイーツなど幅広いジャンルの 食事と驚くほど好相性の新しいタイプの日本酒です。 購入ページへ（外部サイト） その他商品一覧 飲める・買えるお店 該当するリストがありません</p>,https://storage.googleapis.com/studio-cms-assets/projects/YPqrD0nkW5/s-1000x1000_v-fs_webp_f2b11e8a-833e-48b1-bc4f-8ca35668bdf9.png,-KB6d97q,https://a.r10.to/hkS3pW
hsbburn_,神雷　八反錦　うすにごり　生酒,価格,3199,<p>商品詳細 シャープな味わいの中にも神雷らしい米味の豊かさと綺麗な酸味が感じられるお酒を目指し、純米酒(八反錦)のうすにごりで表現されています。 購入ページへ（外部サイト） その他商品一覧 飲める・買えるお店 該当するリストがありません</p>,https://storage.googleapis.com/studio-cms-assets/projects/YPqrD0nkW5/s-150x150_fa480d30-2ed2-44e0-8aac-b8fcc9954e8d.webp,HSBBUrN_,https://a.r10.to/hPU53C
gcjegfkw,神雷(しんらい)　黒ラベル　生もと　純米吟醸　千本錦(せんぼんにしき),価格,1801,<p>商品詳細 県北のテロワールを反映した神石地酒 神雷を醸す三輪酒造の創業は享保元年(西暦1716年)と広島の中でも古い歴史を持ち、中国山脈の山あいの神石高原町に所在します。 軟水仕込みで知られる広島の酒造りですが、神雷は中国山脈のミネラル分を豊富に含む硬水と軟水を巧みに使い分けその風土を反映する酒造りを行っています。 酵母を添加せず醸される生もと造りの定番商品。 柔らかい酸とスッキリとした口当たりの良い味わいです。 購入ページへ（外部サイト） その他商品一覧 飲める・買えるお店</p>,https://storage.googleapis.com/studio-cms-assets/projects/YPqrD0nkW5/s-400x400_df9a38dd-5d79-46d5-a73e-0c164848bc2f.webp,GcJEGfKW,
1aqpf4-x,秋鹿酒造 秋鹿 自営田山田錦 山廃純米 無濾過生原酒,価格,2035,<p>商品詳細 蔵元自ら栽培された山田錦使用。 秋鹿酒造を代表とする一本で ガツンとした米の旨味としっかりした辛さ。 購入ページへ（外部サイト） その他商品一覧 飲める・買えるお店</p>,https://storage.googleapis.com/studio-cms-assets/projects/YPqrD0nkW5/s-500x500_webp_26d58f81-9f40-4631-948a-f71073ad83a6.png,1aqPF4-X,https://a.r10.to/hkZ3cw
